NOC,Gold,Silver,Bronze,Total,Year
USA,37,24,32,93,2000
RUS,32,28,29,89,2000
CHN,28,16,14,58,2000
AUS,16,25,17,58,2000
GER,13,17,26,56,2000
FRA,13,14,11,38,2000
ITA,13,8,13,34,2000
NED,12,9,4,25,2000
CUB,11,11,7,29,2000
GBR,11,10,7,28,2000
ROU,11,6,9,26,2000
KOR,8,10,10,28,2000
HUN,8,6,3,17,2000
POL,6,5,3,14,2000
JPN,5,8,5,18,2000
BUL,5,6,2,13,2000
GRE,4,6,3,13,2000
SWE,4,5,3,12,2000
NOR,4,3,3,10,2000
ETH,4,1,3,8,2000
UKR,3,10,10,23,2000
KAZ,3,4,0,7,2000
BLR,3,3,11,17,2000
CAN,3,3,8,14,2000
ESP,3,3,5,11,2000
TUR,3,0,2,5,2000
IRI,3,0,1,4,2000
CZE,2,3,3,8,2000
KEN,2,3,2,7,2000
DEN,2,3,1,6,2000
FIN,2,1,1,4,2000
AUT,2,1,0,3,2000
LTU,2,0,3,5,2000
BAH,2,0,1,3,2000
AZE,2,0,1,3,2000
SLO,2,0,0,2,2000
SUI,1,6,2,9,2000
INA,1,3,2,6,2000
SVK,1,3,1,5,2000
MEX,1,2,3,6,2000
NGR,1,2,0,3,2000
ALG,1,1,3,5,2000
UZB,1,1,2,4,2000
YUG,1,1,1,3,2000
LAT,1,1,1,3,2000
NZL,1,0,3,4,2000
THA,1,0,2,3,2000
EST,1,0,2,3,2000
CRO,1,0,1,2,2000
CMR,1,0,0,1,2000
COL,1,0,0,1,2000
MOZ,1,0,0,1,2000
BRA,0,6,6,12,2000
JAM,0,6,3,9,2000
BEL,0,2,3,5,2000
RSA,0,2,3,5,2000
ARG,0,2,2,4,2000
MAR,0,1,4,5,2000
TPE,0,1,4,5,2000
PRK,0,1,3,4,2000
TTO,0,1,1,2,2000
KSA,0,1,1,2,2000
MDA,0,1,1,2,2000
URU,0,1,0,1,2000
VIE,0,1,0,1,2000
IRL,0,1,0,1,2000
SRI,0,1,0,1,2000
GEO,0,0,6,6,2000
CRC,0,0,2,2,2000
POR,0,0,2,2,2000
BAR,0,0,1,1,2000
QAT,0,0,1,1,2000
KGZ,0,0,1,1,2000
IND,0,0,1,1,2000
ARM,0,0,1,1,2000
KUW,0,0,1,1,2000
MKD,0,0,1,1,2000
CHI,0,0,1,1,2000
ISL,0,0,1,1,2000
